st_x,st_y,timestamp,accuracy
12.9744634,77.6734764,2017-01-24 04:12:47.9,17.004
12.9744613,77.6734317,2017-01-24 04:13:14,23.597
12.9744613,77.6734317,2017-01-24 04:14:16.9,23.863
12.9743687,77.6733423,2017-01-24 04:15:19,25.035
12.975162,77.6736251,2017-01-24 04:15:43,26
12.9760596,77.6736107,2017-01-24 04:16:17.9,36.255
12.9763614,77.6736997,2017-01-24 04:16:26,18
12.978363,77.6755166,2017-01-24 04:17:23,11
12.9783539,77.6763394,2017-01-24 04:18:17.5,200
12.9811362,77.6759589,2017-01-24 04:18:24,17
12.9826183,77.6778248,2017-01-24 04:19:23,18
12.9839206,77.6791577,2017-01-24 04:20:19.9,24.941
12.9838158,77.6791128,2017-01-24 04:20:27,35
12.9838623,77.6791636,2017-01-24 04:20:30,12
12.9838163,77.6789775,2017-01-24 04:21:20,122.4
12.9840241,77.6793675,2017-01-24 04:21:24,9
12.9838163,77.6789775,2017-01-24 04:22:20.4,484.374
12.9879938,77.6786869,2017-01-24 04:22:23,7
12.9887249,77.683175,2017-01-24 04:23:23,20
12.9887507,77.683675,2017-01-24 04:23:29,15
12.988798,77.6837586,2017-01-24 04:23:30,15
12.9887265,77.6839308,2017-01-24 04:23:32,13
12.9887575,77.6840359,2017-01-24 04:23:33,11
12.9887571,77.6842188,2017-01-24 04:23:35,12
12.9887284,77.6843478,2017-01-24 04:23:37,11
12.9886731,77.6844105,2017-01-24 04:23:38,10
12.988655,77.6844163,2017-01-24 04:23:40,8
12.9886337,77.6844054,2017-01-24 04:23:41,7
12.9885947,77.6844076,2017-01-24 04:23:42,6
12.9885574,77.6845445,2017-01-24 04:23:44,5
12.9885386,77.6846138,2017-01-24 04:23:45,5
12.9884872,77.6847657,2017-01-24 04:23:47,5
12.9884765,77.6848302,2017-01-24 04:23:48,4
12.9884937,77.684997,2017-01-24 04:23:50,6
12.9884587,77.6850442,2017-01-24 04:23:51,6
12.9884535,77.685141,2017-01-24 04:23:52,6
12.988461,77.685232,2017-01-24 04:23:53,6
12.9884846,77.6853878,2017-01-24 04:23:55,5
12.9884673,77.6855291,2017-01-24 04:23:57,4
12.988442,77.6856562,2017-01-24 04:23:59,4
12.9884193,77.6857051,2017-01-24 04:24:00,5
12.9883647,77.6858016,2017-01-24 04:24:02,6
12.9883481,77.6858559,2017-01-24 04:24:03,6
12.9883338,77.6858872,2017-01-24 04:24:04,6
12.9883085,77.6859272,2017-01-24 04:24:05,6
12.9883325,77.6860825,2017-01-24 04:24:07,7
12.9883562,77.6861736,2017-01-24 04:24:08,6
12.9884118,77.6863072,2017-01-24 04:24:10,5
12.9884315,77.6863528,2017-01-24 04:24:11,5
12.9884657,77.686409,2017-01-24 04:24:12,6
12.9885534,77.686518,2017-01-24 04:24:14,6
12.9885988,77.6865943,2017-01-24 04:24:16,5
12.9886382,77.6866252,2017-01-24 04:24:17,5
12.9886938,77.6866393,2017-01-24 04:24:18,5
12.9887696,77.6866597,2017-01-24 04:24:20,4
12.9888281,77.686692,2017-01-24 04:24:22,5
12.9888618,77.6866884,2017-01-24 04:24:23,5
12.9888996,77.6866934,2017-01-24 04:24:24,5
12.9889373,77.6867162,2017-01-24 04:24:26,5
12.9889515,77.6867394,2017-01-24 04:24:27,4
12.988968,77.6867919,2017-01-24 04:24:29,4
12.9889696,77.6867839,2017-01-24 04:24:30,9
12.9889714,77.6867931,2017-01-24 04:24:31,9
12.9889731,77.6868069,2017-01-24 04:24:33,9
12.9889788,77.6868229,2017-01-24 04:24:34,9
12.9889943,77.6868424,2017-01-24 04:24:35,9
12.9890397,77.6868626,2017-01-24 04:24:37,9
12.9890601,77.686879,2017-01-24 04:24:38,9
12.9890786,77.6868946,2017-01-24 04:24:39,9
12.9891214,77.6869188,2017-01-24 04:24:41,9
12.9891463,77.6869325,2017-01-24 04:24:42,9
12.9891964,77.686953,2017-01-24 04:24:44,9
12.9892728,77.6869849,2017-01-24 04:24:45,9
12.9894047,77.6870316,2017-01-24 04:24:47,9
12.9894927,77.6870455,2017-01-24 04:24:49,9
12.9895924,77.6870145,2017-01-24 04:24:51,9
12.9896911,77.6870076,2017-01-24 04:24:53,9
12.9897257,77.6870019,2017-01-24 04:24:54,9
12.9897679,77.6869897,2017-01-24 04:24:55,9
12.9898573,77.6869706,2017-01-24 04:24:57,10
12.9899236,77.6869692,2017-01-24 04:24:58,10
12.9900175,77.686975,2017-01-24 04:25:00,11
12.9900773,77.687029,2017-01-24 04:25:02,10
12.990157,77.6870252,2017-01-24 04:25:04,10
12.9901939,77.687035,2017-01-24 04:25:05,10
12.9902464,77.6870458,2017-01-24 04:25:06,10
12.9903138,77.687039,2017-01-24 04:25:07,10
12.9904038,77.6870549,2017-01-24 04:25:09,10
12.9904558,77.6870728,2017-01-24 04:25:10,10
12.9904977,77.6870707,2017-01-24 04:25:12,10
12.9905137,77.6871405,2017-01-24 04:25:14,10
12.9905325,77.68716,2017-01-24 04:25:15,11
12.9905805,77.6871831,2017-01-24 04:25:16,10
12.9906817,77.6872012,2017-01-24 04:25:18,9
12.9907658,77.6872437,2017-01-24 04:25:20,9
12.9908129,77.6872589,2017-01-24 04:25:21,9
12.9908669,77.6872654,2017-01-24 04:25:22,9
12.9909566,77.687307,2017-01-24 04:25:24,9
12.9909867,77.6873133,2017-01-24 04:25:25,9
12.9910436,77.6873449,2017-01-24 04:25:27,10
12.9930398,77.6890331,2017-01-24 04:26:24,8
12.9969047,77.6906348,2017-01-24 04:27:25,15
12.9967113,77.6918968,2017-01-24 04:27:49,15
12.996722,77.6920256,2017-01-24 04:27:50,10
12.9966537,77.6922753,2017-01-24 04:27:52,5
12.9965719,77.6924852,2017-01-24 04:27:54,4
12.9965221,77.6926647,2017-01-24 04:27:56,6
12.9956736,77.6947203,2017-01-24 04:28:25,14
12.9948069,77.6985697,2017-01-24 04:29:15.6,116.1
12.9944378,77.6996397,2017-01-24 04:29:25,10
12.9935624,77.7033441,2017-01-24 04:30:24,8
12.9928899,77.7091268,2017-01-24 04:31:25,15
12.9924174,77.712517,2017-01-24 04:32:26,13
12.9923643,77.7128924,2017-01-24 04:32:38,19
12.9919122,77.7138754,2017-01-24 04:33:35.8,110
12.9919122,77.7138754,2017-01-24 04:34:41.7,505.604
12.9919122,77.7138754,2017-01-24 04:35:43.9,878.887
12.9918995,77.7151754,2017-01-24 04:35:48,8
12.9919122,77.7138754,2017-01-24 04:36:44.7,1243.525
12.9919946,77.7151712,2017-01-24 04:36:50,17
12.9919969,77.7151944,2017-01-24 04:36:51,10
12.9920082,77.7152122,2017-01-24 04:36:52,8
12.9920276,77.715232,2017-01-24 04:36:54,7
12.9920302,77.7152313,2017-01-24 04:36:55,6
12.9920595,77.7160952,2017-01-24 04:37:50.9,142.5
12.9921935,77.7157958,2017-01-24 04:37:55,11
12.9944183,77.7223969,2017-01-24 04:38:51.3,116.1
12.9923066,77.7169108,2017-01-24 04:38:56,12
12.9923124,77.716995,2017-01-24 04:38:58,7
12.9923098,77.7170266,2017-01-24 04:38:59,6
12.9923035,77.7170669,2017-01-24 04:39:01,4
12.9921323,77.7183891,2017-01-24 04:39:53.7,128.9
12.9923612,77.7185763,2017-01-24 04:39:58,17
12.9923024,77.7186315,2017-01-24 04:40:00,8
12.9922646,77.7186144,2017-01-24 04:40:02,6
12.9922523,77.7186036,2017-01-24 04:40:03,5
12.9922416,77.7186177,2017-01-24 04:40:04,4
12.9921323,77.7183891,2017-01-24 04:40:54.1,491.336
12.990845,77.7217976,2017-01-24 04:40:59,17
12.9897226,77.7254872,2017-01-24 04:42:00,13
12.9892282,77.7270266,2017-01-24 04:42:54,15
12.9896002,77.72707,2017-01-24 04:43:18,18
12.9895793,77.7267238,2017-01-24 04:43:42.6,486.997
12.9909825,77.7274705,2017-01-24 04:43:54,17
12.9895793,77.7267238,2017-01-24 04:44:43.6,852.884
12.9945107,77.7282628,2017-01-24 04:45:09,14
12.9945107,77.7282628,2017-01-24 04:45:46.7,247.346
13.0013018,77.733691,2017-01-24 04:48:31.7,1214
13.0013018,77.733691,2017-01-24 04:48:36.6,1214
13.0013018,77.733691,2017-01-24 04:48:54.2,1214
12.9958438,77.729068,2017-01-24 04:49:09.3,23.847
12.9959322,77.729068,2017-01-24 04:50:14,25.014
12.995764,77.7292469,2017-01-24 04:51:15.3,24.893
12.995764,77.7292469,2017-01-24 04:52:13.5,24.893
12.995764,77.7292469,2017-01-24 04:53:20.3,24.893
12.995806,77.7292022,2017-01-24 04:54:40.8,23.846
12.995806,77.7292022,2017-01-24 04:54:43,23.846
12.995806,77.7292022,2017-01-24 04:54:48.1,23.846
12.9958481,77.7291575,2017-01-24 04:55:22.7,24.228
12.9958481,77.7291575,2017-01-24 04:57:04.6,24.228
12.9958481,77.7291575,2017-01-24 04:58:17.6,24.228
12.9958481,77.7291575,2017-01-24 04:59:18.6,24.228
12.9958481,77.7291575,2017-01-24 05:00:22.7,24.228
12.9959322,77.729068,2017-01-24 05:00:25.1,25.967
12.9959322,77.729068,2017-01-24 05:02:27.6,25.967
12.9959322,77.729068,2017-01-24 05:03:51,25.967
12.9959322,77.729068,2017-01-24 05:05:26.4,25.967
12.9959322,77.729068,2017-01-24 05:08:01.2,25.967
12.9959322,77.729068,2017-01-24 05:10:40.7,25.967
12.9958438,77.729068,2017-01-24 05:10:43.3,24.157
12.9958438,77.729068,2017-01-24 05:16:00.7,24.157
12.9959322,77.729068,2017-01-24 05:16:03,25.964
12.9959322,77.729068,2017-01-24 05:21:12.6,25.964
12.9959322,77.729068,2017-01-24 05:21:35,25.01
12.9958438,77.729068,2017-01-24 05:26:37,23.84
12.9958438,77.729068,2017-01-24 05:26:38.6,23.84
12.9958438,77.729068,2017-01-24 05:26:43.6,23.84
12.9958438,77.729068,2017-01-24 05:26:49,111.187
12.9958438,77.729068,2017-01-24 05:26:51.4,23.84
12.9958438,77.729068,2017-01-24 05:32:00.7,23.84
12.9958438,77.729068,2017-01-24 05:32:03.1,23.811
12.9958438,77.729068,2017-01-24 05:37:02.4,23.812
12.9958438,77.729068,2017-01-24 05:37:30.5,23.812
12.9958438,77.729068,2017-01-24 05:42:04,23.841
12.9958438,77.729068,2017-01-24 05:47:30.7,23.841
12.9958438,77.729068,2017-01-24 05:47:33.1,23.802
12.9958438,77.729068,2017-01-24 05:48:31.9,23.802
12.9958438,77.729068,2017-01-24 05:48:37,23.802
12.9958438,77.729068,2017-01-24 05:49:18,24.16
12.9958438,77.729068,2017-01-24 05:51:53.2,24.16
12.9958438,77.729068,2017-01-24 05:52:00.5,24.16
